Date,Open,High,Low,Close,Volume,Return,Future_Return,Target,RSI,MACD,MACD_Signal,BB_High,BB_Low,MA_7,MA_30,EMA_7,Volatility
2020-02-03,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,30934096509,-0.005441113304621492,-0.012111511652417528,0,65.84180561743406,366.35960161723597,342.0775975622028,9642.17258648447,8206.352706484278,9366.500558035714,8638.565364583334,9256.361431460806,0.022597616838613065
2020-02-04,9292.841796875,9331.265625,9112.8115234375,9180.962890625,29893183716,-0.012111511652417528,0.047104093835473426,1,61.95022873536741,344.4614089238239,342.5543598345271,9667.132665085974,8218.787842726528,9341.125279017857,8697.553548177084,9237.51099740124,0.012231792601500273
2020-02-05,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,35222060874,0.047104093835473426,0.012105773319493585,1,69.42701043687215,357.8775275096268,345.618993369547,9759.975601134205,8214.908676209545,9383.5244140625,8759.027034505209,9331.492192159358,0.02232964580452015
2020-02-06,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,37628823716,0.012105773319493585,0.006797836503646293,1,71.0742461931835,373.5940646387062,351.21400762337885,9864.100355609946,8190.860288921304,9415.06849888393,8811.230680338542,9431.071957338307,0.02153207232160188
2020-02-07,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,34522718159,0.006797836503646293,0.007061676319697785,1,71.99766942032673,386.92636177743043,358.3564784541892,9969.763604435271,8170.510516658479,9478.69907924107,8868.433365885418,9522.291438703449,0.019614464170007458
2020-02-08,9793.0703125,9876.7490234375,9678.91015625,9865.119140625,35172043762,0.007061676319697785,0.02549940694219166,1,72.96959434882368,398.4807724356615,366.3813372504836,10074.555199137581,8181.606324299917,9546.162527901786,8934.6349609375,9607.999513424573,0.019588251748156746
2020-02-09,9863.89453125,10129.435546875,9850.392578125,10116.673828125,35807884663,0.02549940694219166,-0.025706324471686526,0,76.20407239104546,423.05932255324296,377.7169343110355,10213.814123065487,8188.250525372012,9656.49232700893,8999.638948567708,9735.169370994183,0.019791739247261374
2020-02-10,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,39386548075,-0.025706324471686526,0.03567402510806805,1,67.24538958689644,416.7491060065822,385.52336865014485,10285.1189591142,8228.017369010802,9736.93373325893,9060.274739583334,9765.53008927075,0.023776413825920432
2020-02-11,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,37648059389,0.03567402510806805,0.011541499979814906,1,72.03280943642199,435.1057841423153,395.439851748579,10405.054925770464,8260.817437510786,9883.687081473214,9127.466145833334,9876.207275066245,0.0236721104977342
2020-02-12,10202.3876953125,10393.611328125,10202.3876953125,10326.0546875,43444303830,0.011541499979814906,-0.010814856987217514,0,73.43392629967404,453.9279420148432,407.13746980183186,10495.776838887532,8362.04943064372,9985.491489955357,9200.19482421875,9988.669605309824,0.01914316002229129
2020-02-13,10323.9609375,10457.626953125,10116.1611328125,10214.3798828125,49356071373,-0.010814856987217514,0.009568503349817403,1,69.86128822593238,454.5931474724948,416.6286053359645,10535.619735283397,8499.101065497855,10054.71693638393,9246.41533203125,10045.097354236694,0.02070431508409041
2020-02-14,10211.55078125,10321.99609375,10125.5341796875,10312.1162109375,43338264162,0.009568503349817403,-0.0409897830477971,0,71.18267931289975,457.73040131427297,424.8489645316262,10542.529495632918,8686.618160617081,10128.45591517857,9296.585514322916,10111.852227720718,0.020722925622649515
2020-02-15,10313.8564453125,10341.5556640625,9874.427734375,9889.4248046875,43865054831,-0.0409897830477971,0.004551203932625647,1,59.11193740136407,421.25309027789626,424.12978968088026,10486.880389253338,8871.52673965291,10131.928152901786,9335.44013671875,10056.245272433966,0.02769567680208141
2020-02-16,9889.1796875,10053.96875,9722.38671875,9934.43359375,43374780305,0.004551203932625647,-0.024590331529186438,0,59.891858669928105,391.4638401287084,417.5965997704459,10462.883295978827,8997.985258708672,10105.893833705357,9368.9533203125,10025.79231188316,0.025621187129099676
2020-02-17,9936.560546875,9938.8154296875,9507.6376953125,9690.142578125,45998298413,-0.024590331529186438,0.0466302236506857,1,53.884134408289206,344.17595525964316,402.91247086828537,10459.790505484149,9034.23332264085,10082.112583705357,9393.864453125,9941.879793960998,0.025454274236290715
2020-02-18,9691.23046875,10161.935546875,9632.3828125,10141.99609375,47271023953,0.0466302236506857,-0.05014884351152826,0,61.56402387260953,339.2501041983014,390.17999753428865,10492.125227748249,9084.4352214705,10072.649693080357,9441.722819010416,9991.908906685008,0.028340947895760395
2020-02-19,10143.798828125,10191.67578125,9611.2236328125,9633.38671875,46992019710,-0.05014884351152826,-0.0025859164113087862,0,51.223446679837856,290.9518934898624,370.33437672540344,10490.518004172132,9098.481800515368,9973.69712611607,9474.247623697916,9902.278308941508,0.03312842887988854
2020-02-20,9629.3251953125,9643.216796875,9507.900390625,9608.4755859375,44925260237,-0.0025859164113087862,0.008114275736580634,1,50.77361537957439,247.8085110467564,345.829203589674,10479.167166070582,9135.627267523168,9887.139369419643,9503.000325520834,9828.827596992958,0.03321570586945303
2020-02-21,9611.7822265625,9723.0146484375,9589.7431640625,9686.44140625,40930547513,0.008114275736580634,-0.002401270461409255,0,52.1887774549676,217.40218270689365,320.143799413118,10469.357068110981,9174.794006107768,9797.757254464286,9536.519173177083,9793.231037967724,0.03309018972399522
2020-02-22,9687.70703125,9698.2314453125,9600.728515625,9663.181640625,35838025154,-0.002401270461409255,0.02704430011708836,1,51.71116207492158,189.24656315763605,293.9643521620216,10452.316747106863,9223.715967736887,9765.436802455357,9578.408040364584,9760.71868086429,0.02981427622465587
2020-02-23,9663.318359375,9937.404296875,9657.791015625,9924.515625,41185185761,0.02704430011708836,-0.027642741538078885,0,56.525244952203856,185.8778165303538,272.3470450356881,10431.335522518924,9307.796606387326,9764.019949776786,9627.7107421875,9801.667924235819,0.03189318032360237
2020-02-24,9921.5830078125,9951.74609375,9537.04296875,9650.1748046875,45080496648,-0.027642741538078885,-0.031965195740564556,0,50.79981429078218,159.2354816090592,249.72473235036233,10370.703291972834,9415.350028339668,9758.310267857143,9670.45498046875,9763.794639258918,0.03230829129800693
2020-02-25,9651.3125,9652.7373046875,9305.021484375,9341.705078125,42515259129,-0.031965195740564556,-0.05579095174048332,0,45.24985614171664,111.93993638529355,222.16777315734856,10401.544354533418,9357.337090779083,9643.982979910714,9695.284147135417,9658.27223833951,0.026475323713191237
2020-02-26,9338.2900390625,9354.7783203125,8704.4267578125,8820.5224609375,50420050762,-0.05579095174048332,-0.0040846016176541156,0,37.74634479591618,32.033531931369,184.14092491215268,10529.755118400455,9138.198397224543,9527.85951450893,9692.307584635417,9448.83477815662,0.027900234902916835
